project_id|ward|zone|project_name|project_description|sector|project_type|beneficiaries|cdf_application_form_yes_no|wdec_recommendation_yes_no|wdc_minutes_yes_no|zonal_minutes_yes_no|council|province|district|constituency|financial_year|source_url|source_document|retrieval_date
25|Nyangwena|Nyangwena|Renovation of 1x2 classroom block at Nyangwena Combined School|Renovation of 1x2 classroom block|Education|Classroom Block |nill|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
26|Nyangwena|Nyangwena|||||1200|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
27|Nyangwena|Nyangwena|Bridge on Kasampi stream|Construction of Bridge |Road |Bridge|nill|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
28|Nyangwena|Nyangwena|Drilling of 25 Boreholes in Nyangwena|Drilling of a Borehole|Water|Water sector|2500|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
29|Nyangwena|Itobe |Construction of Ablution Block with water machanised system at Itope Primary School|Construction of Abulution Block with water mechanised system|Education|Abulution block|600|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
30|Kabuyu|Kalombe|Construction of a semi detached teachers house at Kalombe|Construction of a semi detached staff house|Education|Staff House|800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
31|Kabuyu|Kabuyu|construction of a staff  house at Kabuyu Community|Construction of a staff house 1x2 semi detached block|Education|Staff House|800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
32|Kabuyu|Nshingaluano|Construction of a 1x2 Classroom at Kabushi Community School|Construction of a 1x2 Classroom |Education|Classroom Block |500|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
33|Kabuyu|Munyeta|Construction of a 1x3 Classroom Block at Munyeta |Construction of a 1x3 Classromm Block |Education|Classroom Block |800|Yes|Yes|Yes|Yes|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
34|Mulamba|Nyamphande|Construction of a Police Post at Nyamphande|Construction of a Police Post|Police|Police Post|nill|Yes|Yes|Yes|No|Rufunsa Town Council|Lusaka Province|Rufunsa|Rufunsa|2025|https://www.rufunsacouncil.gov.zm/wp-content/uploads/2025/01/2025-Community-Project-Applications-_-Received.xlsx|2025 CDF Projects Received from WDCs|2026-09-14
